Chelsea_Points,Man United_Points,Arsenal_Points,Man City_Points
36.0,29.0,30.0,29.0
36.0,29.0,30.0,32.0
39.0,29.0,30.0,32.0
39.0,29.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,30.0,29.0
39.0,32.0,33.0,29.0
39.0,32.0,36.0,29.0
39.0,32.0,36.0,29.0
39.0,35.0,36.0,29.0
39.0,35.0,36.0,29.0
39.0,35.0,36.0,29.0
39.0,35.0,36.0,29.0
39.0,35.0,36.0,29.0
39.0,35.0,37.0,29.0
39.0,35.0,37.0,29.0
42.0,35.0,37.0,29.0
42.0,35.0,37.0,29.0
42.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,35.0,37.0,29.0
45.0,38.0,34.0,29.0
45.0,38.0,34.0,32.0
45.0,38.0,34.0,32.0
46.0,38.0,34.0,32.0
46.0,38.0,34.0,32.0
46.0,38.0,34.0,32.0
46.0,38.0,34.0,32.0
46.0,38.0,34.0,29.0
46.0,38.0,34.0,29.0
46.0,41.0,34.0,29.0
46.0,41.0,34.0,29.0
46.0,41.0,34.0,29.0
46.0,41.0,34.0,29.0
46.0,41.0,34.0,29.0
49.0,41.0,31.0,29.0
49.0,41.0,31.0,29.0
49.0,41.0,31.0,32.0
49.0,41.0,31.0,32.0
49.0,41.0,31.0,32.0
49.0,41.0,34.0,32.0
49.0,42.0,34.0,32.0
49.0,42.0,34.0,32.0
46.0,42.0,34.0,32.0
46.0,42.0,34.0,32.0
46.0,42.0,34.0,32.0
46.0,42.0,34.0,33.0
46.0,42.0,34.0,33.0
46.0,42.0,37.0,33.0
46.0,39.0,37.0,33.0
46.0,39.0,37.0,33.0
46.0,39.0,37.0,33.0
49.0,39.0,37.0,33.0
49.0,39.0,37.0,33.0
49.0,39.0,37.0,33.0
49.0,39.0,37.0,33.0
49.0,39.0,37.0,34.0
49.0,39.0,37.0,34.0
49.0,42.0,37.0,34.0
49.0,42.0,37.0,34.0
49.0,42.0,37.0,34.0
49.0,42.0,37.0,34.0
46.0,42.0,37.0,37.0
46.0,42.0,40.0,37.0
46.0,42.0,40.0,37.0
46.0,42.0,40.0,37.0
46.0,42.0,40.0,37.0
46.0,42.0,43.0,37.0
46.0,42.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
46.0,45.0,43.0,37.0
49.0,45.0,43.0,37.0
49.0,45.0,46.0,37.0
49.0,45.0,46.0,37.0
49.0,45.0,46.0,37.0
49.0,48.0,46.0,37.0
49.0,48.0,46.0,38.0
49.0,48.0,46.0,38.0
49.0,48.0,46.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
49.0,48.0,49.0,38.0
50.0,48.0,49.0,38.0
50.0,48.0,49.0,41.0
50.0,51.0,49.0,41.0
50.0,51.0,49.0,41.0
50.0,51.0,49.0,41.0
50.0,51.0,49.0,41.0
50.0,51.0,49.0,38.0
53.0,51.0,49.0,38.0
53.0,51.0,50.0,38.0
53.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,38.0
56.0,54.0,50.0,41.0
56.0,54.0,53.0,41.0
56.0,54.0,53.0,41.0
56.0,54.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
59.0,51.0,53.0,44.0
